loop,MRE fitting,MRE sixpoint
1,0.43062540888786316,0.34891098216550753
2,0.33796566128730776,0.32705954186117503
3,0.39151942133903506,0.35150471359518465
4,0.45484471321105957,0.3032409970506814
5,0.3608360648155212,0.33036846864611735
6,0.3501275241374969,0.25513477115137906
7,0.3000776022672653,0.2742977875693209
8,0.28930542469024656,0.3066629098906433
9,0.23816976547241211,0.27034963539432416
