3.674,-3.168,1.175
3.622,-5.773,1.789
3.782,-5.770,1.799
3.412,-3.810,0.648
3.461,-3.916,1.896
3.508,-11.391,3.449
2.678,-7.475,2.314
3.309,-4.898,1.262
3.145,-10.817,3.464
3.037,-7.486,2.921
3.611,-13.507,4.389
3.343,-4.715,2.527
3.476,-5.730,2.211
3.342,-6.086,2.819
3.202,-13.665,4.678
3.417,-12.924,6.686
3.711,-8.246,3.813
3.379,-9.322,3.956
2.914,-8.048,3.231
2.907,-12.725,4.400
3.473,-7.327,2.877
3.597,-9.686,4.649
3.904,-5.345,2.174
3.705,-16.671,6.120
3.447,-9.482,3.965
3.954,-18.614,6.123
4.028,-13.866,4.130
3.470,-5.425,2.761
3.385,-10.853,3.354
3.255,-19.456,7.160
